"O3.Mean","Date.Local"
0.017,2015-11-30
0.016,2015-12-01
0.002389,2015-12-02
0.014714,2015-12-03
0.012583,2015-12-04
0.003167,2015-12-05
0.003792,2015-12-06
0.005167,2015-12-07
0.008375,2015-12-08
0.014708,2015-12-09
0.007875,2015-12-10
0.003833,2015-12-11
0.002,2015-12-12
0.0105,2015-12-13
0.014882,2015-12-14
0.017389,2015-12-15
0.0128,2015-12-16
0.013458,2015-12-17
0.012958,2015-12-18
0.022792,2015-12-19
0.019333,2015-12-20
0.01325,2015-12-21
0.003583,2015-12-22
0.010542,2015-12-23
0.005417,2015-12-24
0.003958,2015-12-25
0.024167,2015-12-26
0.010625,2015-12-27
0.02375,2015-12-28
0.01425,2015-12-29
0.005583,2015-12-30
0.013474,2015-12-31
0.024042,2016-01-01
0.019125,2016-01-02
0.017833,2016-01-03
0.020917,2016-01-04
0.010958,2016-01-05
0.003792,2016-01-06
0.000667,2016-01-07
0.01575,2016-01-08
0.022667,2016-01-09
0.027458,2016-01-10
0.020375,2016-01-11
0.016042,2016-01-12
0.020875,2016-01-13
0.007667,2016-01-14
0.013042,2016-01-15
0.020625,2016-01-16
0.020333,2016-01-17
0.022083,2016-01-18
0.023833,2016-01-19
0.019083,2016-01-20
0.023333,2016-01-21
0.029292,2016-01-22
0.030875,2016-01-23
0.01775,2016-01-24
0.0095,2016-01-25
0.011542,2016-01-26
0.0105,2016-01-27
0.007625,2016-01-28
0.013625,2016-01-29
0.014417,2016-01-30
0.011167,2016-01-31
0.013083,2016-02-01
0.01175,2016-02-02
0.022917,2016-02-03
0.016875,2016-02-04
0.024958,2016-02-05
0.015167,2016-02-06
0.015917,2016-02-07
0.030875,2016-02-08
0.013056,2016-02-09
0.010583,2016-02-10
0.03075,2016-02-11
0.022125,2016-02-12
0.02775,2016-02-13
0.018875,2016-02-14
0.005833,2016-02-15
0.026792,2016-02-16
0.01925,2016-02-17
0.026208,2016-02-18
0.022625,2016-02-19
0.026042,2016-02-20
0.020875,2016-02-21
0.01625,2016-02-22
0.026208,2016-02-23
0.021083,2016-02-24
0.01975,2016-02-25
0.032042,2016-02-26
0.026792,2016-02-27
0.022042,2016-02-28
0.02125,2016-02-29
0.03175,2016-03-01
0.030333,2016-03-02
0.025083,2016-03-03
0.023125,2016-03-04
0.022708,2016-03-05
0.019625,2016-03-06
0.01725,2016-03-07
0.017417,2016-03-08
0.017708,2016-03-09
0.020208,2016-03-10
0.023792,2016-03-11
0.0205,2016-03-12
0.027792,2016-03-13
0.03125,2016-03-14
0.018625,2016-03-15
0.016722,2016-03-16
0.020917,2016-03-17
0.028333,2016-03-18
0.031583,2016-03-19
0.035375,2016-03-20
0.031708,2016-03-21
0.032542,2016-03-22
0.028708,2016-03-23
0.033667,2016-03-24
0.024917,2016-03-25
0.031417,2016-03-26
0.033333,2016-03-27
0.029167,2016-03-28
0.036625,2016-03-29
0.033167,2016-03-30
0.036417,2016-03-31
0.020958,2016-04-01
0.0285,2016-04-02
0.0315945265218657,2016-04-03
0.0303033714217683,2016-04-04
0.029779863885288,2016-04-05
0.033667,2016-04-06
0.031833,2016-04-07
0.027583,2016-04-08
0.0295,2016-04-09
0.036083,2016-04-10
0.039375,2016-04-11
0.02725,2016-04-12
0.024875,2016-04-13
0.02575,2016-04-14
0.030042,2016-04-15
0.032875,2016-04-16
0.028917,2016-04-17
0.037542,2016-04-18
0.040125,2016-04-19
0.040542,2016-04-20
0.030625,2016-04-21
0.032167,2016-04-22
0.035042,2016-04-23
0.038667,2016-04-24
0.036208,2016-04-25
0.029292,2016-04-26
0.021208,2016-04-27
0.037542,2016-04-28
0.03675,2016-04-29
0.038684,2016-04-30
